GEO_ID,NAME,C02003_001E,C02003_001M,C02003_002E,C02003_002M,C02003_003E,C02003_003M,C02003_004E,C02003_004M,C02003_005E,C02003_005M,C02003_006E,C02003_006M,C02003_007E,C02003_007M,C02003_008E,C02003_008M,C02003_009E,C02003_009M,C02003_010E,C02003_010M,C02003_011E,C02003_011M,C02003_012E,C02003_012M,C02003_013E,C02003_013M,C02003_014E,C02003_014M,C02003_015E,C02003_015M,C02003_016E,C02003_016M,C02003_017E,C02003_017M,C02003_018E,C02003_018M,C02003_019E,C02003_019M
id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Population of one race:,Margin of Error!!Total:!!Population of one race:,Estimate!!Total:!!Population of one race:!!White,Margin of Error!!Total:!!Population of one race:!!White,Estimate!!Total:!!Population of one race:!!Black or African American,Margin of Error!!Total:!!Population of one race:!!Black or African American,Estimate!!Total:!!Population of one race:!!American Indian and Alaska Native,Margin of Error!!Total:!!Population of one race:!!American Indian and Alaska Native,Estimate!!Total:!!Population of one race:!!Asian,Margin of Error!!Total:!!Population of one race:!!Asian,Estimate!!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander,Margin of Error!!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander,Estimate!!Total:!!Population of one race:!!Some other race,Margin of Error!!Total:!!Population of one race:!!Some other race,Estimate!!Total:!!Population of two or more races:,Margin of Error!!Total:!!Population of two or more races:,Estimate!!Total:!!Population of two or more races:!!Two races including Some other race,Margin of Error!!Total:!!Population of two or more races:!!Two races including Some other race,"Estimate!!Total:!!Population of two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Population of two or more races:!!Two races excluding Some other race, and three or more races",Estimate!!Total:!!Population of two or more races:!!Population of two races:,Margin of Error!!Total:!!Population of two or more races:!!Population of two races:,Estimate!!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American,Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American,Estimate!!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native,Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native,Estimate!!Total:!!Population of two or more races:!!Population of two races:!!White; Asian,Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!White; Asian,Estimate!!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native,Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native,Estimate!!Total:!!Population of two or more races:!!Population of two races:!!All other two race combinations,Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!All other two race combinations,Estimate!!Total:!!Population of two or more races:!!Population of three races,Margin of Error!!Total:!!Population of two or more races:!!Population of three races,Estimate!!Total:!!Population of two or more races:!!Population of four or more races,Margin of Error!!Total:!!Population of two or more races:!!Population of four or more races
0400000US01,Alabama,4903185,*****,4811663,6916,3326375,8070,1319551,8216,23265,3739,66129,2481,1892,716,74451,7104,91522,6916,6258,1880,85264,6976,85438,6472,34445,4886,24552,3204,14446,2478,1663,734,10332,2423,5148,2138,936,629
0400000US02,Alaska,731545,*****,674069,5446,469771,4147,22551,1965,115544,3935,43678,2428,9923,834,12602,3697,57476,5446,2591,923,54885,5220,52415,5084,7397,1903,24557,3582,11989,2347,1208,762,7264,1846,4581,1535,480,429
0400000US04,Arizona,7278717,*****,6998143,12629,5701810,20005,343729,7680,332273,8619,241721,6153,14168,1611,364442,20245,280574,12629,52367,7130,228207,11358,261176,11926,61967,6802,56836,6180,62786,5925,7782,2594,71805,8982,17607,3193,1791,1016
0400000US05,Arkansas,3017804,*****,2934201,7131,2315020,8944,467468,6259,17216,2316,46078,3621,12829,1801,75590,8418,83603,7131,7216,2619,76387,6835,80115,6731,26888,4270,31720,3213,9614,2328,2596,1567,9297,2959,3372,1241,116,147
0400000US06,California,39512223,*****,37534078,33931,23484958,66457,2282144,17125,321112,15788,5865435,20041,155871,5626,5424558,70153,1978145,33931,421998,16861,1556147,30705,1809759,32950,283466,12916,289679,14039,611518,16468,33957,6001,591139,18940,149757,9956,18629,2893
0400000US08,Colorado,5758736,*****,5525793,10805,4822379,16194,240538,6815,57578,5575,188461,5845,7756,2016,209081,14420,232943,10805,34753,4177,198190,10748,211473,10388,46426,6019,56170,6242,55654,4394,4442,1714,48781,4915,19938,4706,1532,879
0400000US09,Connecticut,3565287,*****,3434219,8941,2660228,14767,396745,7946,9052,1762,166393,3784,1155,1082,200646,13943,131068,8941,25662,4396,105406,9010,118439,8128,50094,6549,11397,1870,22678,3335,5444,2212,28826,4561,11487,3756,1142,718
0400000US10,Delaware,973764,*****,943597,4218,659719,5370,219418,3974,4353,1271,36592,1970,428,499,23087,5203,30167,4218,3218,1362,26949,3959,27899,4106,14479,3307,2456,908,5604,1526,428,306,4932,1773,2091,1219,177,284
0400000US11,District of Columbia,705749,*****,682428,3488,300058,4791,320704,4929,1886,430,28722,1390,190,216,30868,5212,23321,3488,2545,978,20776,3295,21428,3046,7476,2478,692,378,7053,1279,2396,1204,3811,1138,1503,793,390,472
0400000US12,Florida,21477737,*****,20846185,24376,16010079,29969,3441062,26501,59558,5844,599799,8235,16162,3369,719525,25981,631552,24376,97525,9286,534027,21443,582597,21984,233440,14147,77098,7128,116163,8269,10063,2119,145833,12651,43972,6427,4983,2650
0400000US13,Georgia,10617423,*****,10333002,14589,6131699,17015,3390968,15987,42316,7151,439416,7414,6947,2674,321656,18188,284421,14589,43982,6542,240439,12844,266581,14133,114824,9720,26216,4118,53685,5757,8848,2438,63008,7352,15731,2813,2109,1167
0400000US15,Hawaii,1415872,*****,1099404,11280,341211,4361,26923,2003,6129,2327,547843,11078,152601,5303,24697,4770,316468,11280,8324,1909,308144,11109,199669,10711,7642,1754,6647,1023,76957,6437,388,317,108035,7664,102372,8018,14427,3257
0400000US16,Idaho,1787065,*****,1728365,4924,1596918,8069,12708,2170,22867,2684,25969,3001,2475,1160,67428,7314,58700,4924,12303,3855,46397,3866,54729,4852,6701,1747,16505,2578,14431,2523,586,588,16506,4187,3675,1428,296,422
0400000US17,Illinois,12671821,*****,12319888,15282,9044059,29217,1790212,12139,32600,4084,717992,5911,4511,1374,730514,26606,351933,15282,60983,5913,290950,13220,322725,13875,116523,8896,37684,3787,86933,5758,6079,1797,75506,6374,28006,5160,1202,478
0400000US18,Indiana,6732219,*****,6557936,10311,5571899,13154,643105,8996,18416,3160,170566,5401,3254,1946,150696,12587,174283,10311,22361,3790,151922,9682,163712,9933,80948,7448,25747,3018,26265,3927,2363,1083,28389,4417,9985,2656,586,494
0400000US19,Iowa,3155070,*****,3086822,5650,2835536,5371,129335,4761,11837,1622,76134,3135,2029,893,31951,4884,68248,5650,6459,1612,61789,5175,64819,5647,29904,3874,8747,1920,16783,2875,388,231,8997,1941,3063,1003,366,326
0400000US20,Kansas,2913314,*****,2804543,6310,2436902,8136,167237,4802,23860,3216,87018,2644,2453,1399,87073,7195,108771,6310,9332,1876,99439,5970,101256,5641,35881,4273,33107,2581,16622,2791,3223,1289,12423,2298,6744,1759,771,570
0400000US21,Kentucky,4467673,*****,4363515,6961,3873691,5598,363167,7961,8326,2248,73087,3588,4212,1780,41032,5314,104158,6961,10858,3251,93300,6725,98787,6879,52195,5625,15147,2106,15706,2512,1708,916,14031,3272,4520,1242,851,703
0400000US22,Louisiana,4648794,*****,4555727,7819,2874784,7880,1504017,8676,28561,3185,81506,4401,971,601,65888,7811,93067,7819,9001,2420,84066,7187,85127,7401,31724,4692,20778,3329,12626,2716,7179,2403,12820,2959,7716,2060,224,337
0400000US23,Maine,1344212,*****,1315676,3365,1263287,2108,21983,2723,9419,1352,15323,1510,222,183,5442,1374,28536,3365,1849,801,26687,3273,25529,2614,6660,1401,9049,1534,6710,1390,308,208,2802,990,2976,1861,31,65
0400000US24,Maryland,6045680,*****,5840122,11032,3296909,13654,1830059,9860,19164,2473,386194,4864,2453,1009,305343,13698,205558,11032,20330,3717,185228,10180,187336,10359,75321,6265,13663,2214,53553,5071,10495,2392,34304,4350,16076,3792,2146,1034
0400000US25,Massachusetts,6892503,*****,6642044,13147,5305385,21121,543629,9985,17875,2162,472895,5636,2998,737,299262,18468,250459,13147,37373,4530,213086,12277,236427,12819,111245,9745,17468,2676,59579,4974,4666,2357,43469,4526,12346,2698,1686,1150
0400000US26,Michigan,9986857,*****,9684517,11635,7812165,11396,1371069,10424,57785,3423,327230,4522,2078,694,114190,10326,302340,11635,22839,2921,279501,10907,280791,10702,121042,8544,63669,3305,54495,4704,11036,2145,30549,3392,19821,4068,1728,906
0400000US27,Minnesota,5639632,*****,5453049,10756,4627588,9059,370291,8173,57414,3255,285630,4528,2753,901,109373,9416,186583,10756,17946,3717,168637,9400,172444,10091,63104,5810,42625,3311,38297,4147,3483,1436,24935,4056,13721,2855,418,338
0400000US28,Mississippi,2976149,*****,2932485,6308,1726970,6136,1130608,7506,14634,2075,31154,3461,175,259,28944,4232,43664,6308,2589,1271,41075,6270,41398,6042,20886,4805,7269,2569,6717,2149,1686,784,4840,1795,2136,1214,130,219
0400000US29,Missouri,6137428,*****,5965175,8461,5022939,7560,703058,8638,25516,3599,127154,4281,10214,2839,76294,8075,172253,8461,11149,2257,161104,8226,160530,8082,72474,6633,39846,3555,27172,3655,3833,1532,17205,2839,10582,3158,1141,787
0400000US30,Montana,1068778,*****,1032261,3637,940423,2810,7787,1893,67603,3257,8927,1287,224,253,7297,1714,36517,3637,2337,1506,34180,3543,32349,3394,3649,1286,18656,2968,5324,1085,755,525,3965,1724,3303,1303,865,946
0400000US31,Nebraska,1934408,*****,1881025,5206,1666763,6142,94659,3635,18964,2059,47740,2173,1850,866,51049,5631,53383,5206,6347,1518,47036,4767,48804,5029,17833,3111,10973,2022,10695,1865,669,394,8634,1709,4356,1231,223,333
0400000US32,Nevada,3080156,*****,2935948,8665,1989116,17188,296184,5444,42426,4650,261159,5415,22587,2559,324476,17016,144208,8665,22822,3879,121386,8096,131021,8412,32725,4688,16746,2435,36569,4167,3708,1292,41273,5167,12123,2219,1064,569
0400000US33,New Hampshire,1359711,*****,1329506,3411,1258576,3767,22000,1840,1727,653,35807,2393,713,526,10683,3559,30205,3411,1108,648,29097,3361,28362,3311,7154,1618,8534,1656,10080,1955,36,60,2558,1016,1726,759,117,200
0400000US34,New Jersey,8882190,*****,8617761,14190,5964295,22769,1203843,10689,18440,4501,856561,7679,3254,1475,571368,21222,264429,14190,57237,7186,207192,12438,243548,13558,88907,9324,14459,2508,62536,5344,7972,2924,69674,7823,18818,3859,2063,1447
0400000US35,New Mexico,2096829,*****,2024385,6802,1549953,14976,48337,3861,199341,5549,36549,2668,924,544,189281,15165,72444,6802,20393,2795,52051,6155,67263,6483,14911,4095,16716,3315,10277,2023,2170,1032,23189,2988,4603,2345,578,508
0400000US36,New York,19453561,*****,18804263,19354,12293680,31896,3084304,17635,73560,6588,1680219,9869,8277,2421,1664223,33219,649298,19354,149030,10108,500268,17521,591550,18644,206607,11085,49579,4825,129542,8068,19784,4477,186038,10855,53764,7039,3984,1399
0400000US37,North Carolina,10488084,*****,10192947,17994,7144510,17909,2253481,14903,126708,4966,309905,7205,6878,2124,351465,16572,295137,17994,31893,4408,263244,16761,265971,16160,110955,10137,39506,3278,49945,5840,19634,5526,45931,5612,27660,4844,1506,976
0400000US38,North Dakota,762062,*****,736917,3813,653910,2209,22256,2558,40970,2364,10669,2355,2792,1647,6320,2122,25145,3813,1538,710,23607,3882,24315,3770,6614,2258,10230,2157,4955,2047,625,516,1891,874,808,578,22,37
0400000US39,Ohio,11689100,*****,11345759,13932,9452650,11008,1467331,13248,23544,3846,274585,5709,5274,2003,122375,10175,343341,13932,20822,3117,322519,13525,315093,12693,173377,10247,41185,3851,55583,4826,11900,3471,33048,4846,25678,4894,2570,1468
0400000US40,Oklahoma,3956971,*****,3656806,9446,2865785,9140,287414,6538,316929,6536,89950,3064,4808,1381,91920,7110,300165,9446,12189,2413,287976,8717,283090,8412,42163,4612,187502,6159,14964,1946,20852,4032,17609,2937,16045,3138,1030,601
0400000US41,Oregon,4217737,*****,4010412,11022,3523853,15385,77918,5485,50417,5533,194068,4722,14182,2342,149974,14981,207325,11022,22110,4347,185215,10484,190137,11071,35623,5221,67640,6171,49794,3823,926,598,36154,5050,14856,2810,2332,1604
0400000US42,Pennsylvania,12801989,*****,12469281,14431,10193792,15794,1454753,14506,27088,3858,453662,6936,4148,1007,335838,17763,332708,14431,45304,6031,287404,13237,307398,13791,146125,9513,31156,2722,60849,5738,13744,4484,55524,6860,22106,4233,3204,1895
0400000US44,Rhode Island,1059361,*****,1014761,5770,833690,8299,78143,6572,3341,962,37101,2675,250,212,62236,8445,44600,5770,9844,2706,34756,5213,40054,5243,13825,3825,4655,1358,7802,1894,1092,606,12680,2932,4049,1725,497,441
0400000US45,South Carolina,5148714,*****,5023183,9493,3434467,11106,1362917,8396,18971,2545,86571,3010,7572,5449,112685,10505,125531,9493,13135,2999,112396,8885,115750,9349,58428,6828,15969,1849,17552,2946,4829,2124,18972,3570,8972,2131,809,680
0400000US46,South Dakota,884659,*****,859961,3560,743764,1684,20866,2182,75809,2831,11530,2434,2073,1557,5919,1275,24698,3560,952,876,23746,3479,23650,3350,3896,1599,14904,2459,2257,860,1082,743,1511,1231,1048,853,0,167
0400000US47,Tennessee,6829174,*****,6672928,8001,5272910,9919,1141304,8527,20431,2986,125742,4116,3469,1316,109072,10567,156246,8001,12696,2864,143550,7221,144907,8056,67718,6352,24940,2546,28119,3390,5281,2173,18849,3661,9620,3067,1719,1228
0400000US48,Texas,28995881,*****,28159954,28006,21273326,44895,3553922,23163,144993,8858,1446073,11439,27026,4145,1714614,45756,835927,28006,166747,10975,669180,25069,775714,25620,248201,16405,135993,8833,158222,10836,21053,5606,212245,11911,54976,7559,5237,2296
0400000US49,Utah,3205958,*****,3102384,8741,2799527,10987,36918,2748,35368,3443,76470,4125,30725,2972,123376,10628,103574,8741,15756,4173,87818,6607,92393,8300,15140,2548,15377,3059,30520,3827,1085,751,30271,5393,8836,2174,2345,1285
0400000US50,Vermont,623989,*****,608622,2758,585117,951,9435,1109,2928,839,8603,2541,386,381,2153,818,15367,2758,164,180,15203,2730,14061,2834,2609,828,5185,1018,5750,2809,0,161,517,288,1306,664,0,161
0400000US51,Virginia,8535519,*****,8215287,13942,5714646,13060,1659908,12568,23388,3009,565643,6224,5039,1116,246663,13682,320232,13942,32907,5735,287325,13221,296717,14063,113091,9385,27100,3104,94105,6563,13676,4058,48745,6623,20909,3474,2606,1083
0400000US53,Washington,7614893,*****,7161398,14500,5651091,16236,305924,7176,103882,6865,684967,8569,50139,3973,365395,16236,453495,14500,47883,4949,405612,13262,409644,14581,81690,6132,92029,6155,140753,8380,5717,2232,89455,8045,38676,5094,5175,1895
0400000US54,West Virginia,1792147,*****,1759897,2917,1668004,3236,65925,3478,3601,1396,14311,1712,399,417,7657,1944,32250,2917,1853,764,30397,2904,30198,2904,16776,2705,5123,1474,3678,1071,1300,957,3321,1018,1933,866,119,160
0400000US55,Wisconsin,5822434,*****,5685400,7824,4963354,9563,374747,5775,54577,2975,167420,4534,4220,1636,121082,9594,137034,7824,16592,3313,120442,7662,129577,7417,51215,5774,28141,3048,26491,3134,3944,1382,19786,3577,6168,1527,1289,755
0400000US56,Wyoming,578759,*****,562936,3004,525860,2716,7116,1901,13774,1592,4633,1379,754,498,10799,2278,15823,3004,2705,1336,13118,2497,13837,2488,3802,1237,4288,1150,2193,727,17,31,3537,1479,1734,1152,252,411
0400000US72,Puerto Rico,3193694,*****,2966604,12317,2054764,16368,395439,11148,3082,1232,6573,2492,183,211,506563,15573,227090,12317,14265,3009,212825,11480,218007,12285,200316,11023,792,441,1193,1088,1216,998,14490,3071,8922,2326,161,177
