date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2/25/2021,MT,1350,,2,,4567,4567,75,8,,15,968063,7332,,,,,6,99445,95356,203,0,,,,,,96178,,0,1067508,7535,,,,,,0,1063419,7249
2/24/2021,MT,1348,,2,,4559,4559,97,5,,18,960731,3554,,,,,12,99242,95439,202,0,,,,,,96040,,0,1059973,3756,,,,,,0,1056170,3437
2/23/2021,MT,1346,,5,,4554,4554,85,27,,21,957177,2309,,,,,13,99040,95556,230,0,,,,,,95772,,0,1056217,2539,,,,,,0,1052733,2341
2/22/2021,MT,1341,,-1,,4527,4527,78,5,,18,954868,1467,,,,,11,98810,95524,31,0,,,,,,95299,,0,1053678,1498,,,,,,0,1050392,1491
2/21/2021,MT,1342,,1,,4522,4522,78,5,,18,953401,3128,,,,,11,98779,95500,138,0,,,,,,95211,,0,1052180,3266,,,,,,0,1048901,3228
2/20/2021,MT,1341,,2,,4517,4517,78,11,,18,950273,5203,,,,,11,98641,95400,264,0,,,,,,94874,,0,1048914,5467,,,,,,0,1045673,5329
2/19/2021,MT,1339,,2,,4506,4506,96,22,,18,945070,4692,,,,,12,98377,95274,277,0,,,,,,94613,,0,1043447,4969,,,,,,0,1040344,4904
2/18/2021,MT,1337,,3,,4484,4484,109,7,,19,940378,5950,,,,,13,98100,95062,200,0,,,,,,94201,,0,1038478,6150,,,,,,0,1035440,6120
2/17/2021,MT,1334,,3,,4477,4477,91,16,,23,934428,3808,,,,,14,97900,94892,234,0,,,,,,94034,,0,1032328,4042,,,,,,0,1029320,3953
2/16/2021,MT,1331,,3,,4461,4461,96,17,,26,930620,1344,,,,,11,97666,94747,127,0,,,,,,93669,,0,1028286,1471,,,,,,0,1025367,1383
2/15/2021,MT,1328,,1,,4444,4444,92,5,,24,929276,2806,,,,,15,97539,94708,138,0,,,,,,93476,,0,1026815,2944,,,,,,0,1023984,2923
2/14/2021,MT,1327,,0,,4439,4439,92,-2,,24,926470,2990,,,,,15,97401,94591,104,0,,,,,,93328,,0,1023871,3094,,,,,,0,1021061,3082
2/13/2021,MT,1327,,3,,4441,4441,92,9,,24,923480,5538,,,,,15,97297,94499,234,0,,,,,,93148,,0,1020777,5772,,,,,,0,1017979,5734
2/12/2021,MT,1324,,4,,4432,4432,100,18,,23,917942,4443,,,,,13,97063,94303,221,0,,,,,,92822,,0,1015005,4664,,,,,,0,1012245,4616
2/11/2021,MT,1320,,0,,4414,4414,111,14,,25,913499,6346,,,,,12,96842,94130,247,0,,,,,,92497,,0,1010341,6593,,,,,,0,1007629,6555
2/10/2021,MT,1320,,5,,4400,4400,108,26,,19,907153,3532,,,,,11,96595,93921,307,0,,,,,,92248,,0,1003748,3839,,,,,,0,1001074,3795
2/9/2021,MT,1315,,1,,4374,4374,102,18,,24,903621,4035,,,,,14,96288,93658,374,0,,,,,,91784,,0,999909,4409,,,,,,0,997279,4341
2/8/2021,MT,1314,,0,,4356,4356,101,3,,18,899586,4235,,,,,10,95914,93352,124,0,,,,,,91380,,0,995500,4359,,,,,,0,992938,4341
2/7/2021,MT,1314,,2,,4353,4353,101,3,,18,895351,1902,,,,,10,95790,93246,73,0,,,,,,91162,,0,991141,1975,,,,,,0,988597,1962
2/6/2021,MT,1312,,5,,4350,4350,107,9,,18,893449,5227,,,,,10,95717,93186,259,0,,,,,,91060,,0,989166,5486,,,,,,0,986635,5457
2/5/2021,MT,1307,,-1,,4341,4341,102,14,,24,888222,6143,,,,,14,95458,92956,347,0,,,,,,90654,,0,983680,6490,,,,,,0,981178,6455
2/4/2021,MT,1308,,5,,4327,4327,115,20,,23,882079,6362,,,,,13,95111,92644,301,0,,,,,,90402,,0,977190,6663,,,,,,0,974723,6608
2/3/2021,MT,1303,,54,,4307,4307,121,34,,18,875717,7649,,,,,13,94810,92398,426,0,,,,,,90086,,0,970527,8075,,,,,,0,968115,7985
2/2/2021,MT,1249,,15,,4273,4273,116,25,,20,868068,3160,,,,,13,94384,92062,314,0,,,,,,89542,,0,962452,3474,,,,,,0,960130,3412
2/1/2021,MT,1234,,1,,4248,4248,108,3,,20,864908,2369,,,,,15,94070,91810,121,0,,,,,,89218,,0,958978,2490,,,,,,0,956718,2469
1/31/2021,MT,1233,,1,,4245,4245,101,-1,,20,862539,3341,,,,,15,93949,91710,187,0,,,,,,89073,,0,956488,3528,,,,,,0,954249,3506
1/30/2021,MT,1232,,5,,4246,4246,101,29,,20,859198,7941,,,,,15,93762,91545,516,0,,,,,,88822,,0,952960,8457,,,,,,0,950743,8353
1/29/2021,MT,1227,,17,,4217,4217,103,14,,23,851257,5224,,,,,17,93246,91133,312,0,,,,,,88291,,0,944503,5536,,,,,,0,942390,5462
1/28/2021,MT,1210,,9,,4203,4203,114,26,,19,846033,8605,,,,,15,92934,90895,403,0,,,,,,87720,,0,938967,9008,,,,,,0,936928,8947
1/27/2021,MT,1201,,16,,4177,4177,118,36,,22,837428,6632,,,,,15,92531,90553,371,0,,,,,,87018,,0,929959,7003,,,,,,0,927981,5025
1/26/2021,MT,1185,,34,,4141,4141,128,13,,23,830796,2496,,,,,16,92160,,344,0,,,,,,86733,,0,922956,2840,,,,,,0,922956,2840
1/25/2021,MT,1151,,0,,4128,4128,129,3,,25,828300,8266,,,,,15,91816,,164,0,,,,,,86274,,0,920116,8430,,,,,,0,920116,8430
1/24/2021,MT,1151,,10,,4125,4125,135,13,,25,820034,4691,,,,,15,91652,,242,0,,,,,,85881,,0,911686,4933,,,,,,0,911686,4933
1/23/2021,MT,1141,,37,,4112,4112,141,31,,25,815343,6623,,,,,15,91410,,361,0,,,,,,85686,,0,906753,6984,,,,,,0,906753,6984
1/22/2021,MT,1104,,4,,4081,4081,138,32,,27,808720,6599,,,,,14,91049,,400,0,,,,,,85095,,0,899769,6999,,,,,,0,899769,6999
1/21/2021,MT,1100,,6,,4049,4049,137,27,,26,802121,4492,,,,,12,90649,,394,0,,,,,,84708,,0,892770,4886,,,,,,0,892770,4886
1/20/2021,MT,1094,,1,,4022,4022,159,30,,25,797629,3821,,,,,13,90255,,391,0,,,,,,84255,,0,887884,4212,,,,,,0,887884,4212
1/19/2021,MT,1093,,0,,3992,3992,163,18,,26,793808,1972,,,,,13,89864,,288,0,,,,,,83825,,0,883672,2260,,,,,,0,883672,2260
1/18/2021,MT,1093,,1,,3974,3974,169,12,,32,791836,1501,,,,,17,89576,,183,0,,,,,,83527,,0,881412,1684,,,,,,0,881412,1684
1/17/2021,MT,1092,,4,,3962,3962,172,5,,32,790335,4448,,,,,17,89393,,337,0,,,,,,83154,,0,879728,4785,,,,,,0,879728,4785
1/16/2021,MT,1088,,2,,3957,3957,190,17,,32,785887,4958,,,,,17,89056,,421,0,,,,,,82920,,0,874943,5379,,,,,,0,874943,5379
1/15/2021,MT,1086,,9,,3940,3940,188,23,,34,780929,6612,,,,,17,88635,,525,0,,,,,,82460,,0,869564,7137,,,,,,0,869564,7137
1/14/2021,MT,1077,,8,,3917,3917,192,14,,36,774317,6901,,,,,21,88110,,457,0,,,,,,82190,,0,862427,7358,,,,,,0,862427,7358
1/13/2021,MT,1069,,2,,3903,3903,199,20,,36,767416,2899,,,,,21,87653,,576,0,,,,,,81676,,0,855069,3475,,,,,,0,855069,3475
1/12/2021,MT,1067,,10,,3883,3883,187,30,,36,764517,5731,,,,,21,87077,,424,0,,,,,,81183,,0,851594,6155,,,,,,0,851594,6155
1/11/2021,MT,1057,,1,,3853,3853,207,19,,35,758786,2860,,,,,18,86653,,329,0,,,,,,80674,,0,845439,3189,,,,,,0,845439,3189
1/10/2021,MT,1056,,2,,3834,3834,201,-3,,36,755926,4892,,,,,17,86324,,222,0,,,,,,80237,,0,842250,5114,,,,,,0,842250,5114
1/9/2021,MT,1054,,5,,3837,3837,204,23,,40,751034,4715,,,,,22,86102,,534,0,,,,,,79906,,0,837136,5249,,,,,,0,837136,5249
1/8/2021,MT,1049,,11,,3814,3814,205,32,,37,746319,7790,,,,,21,85568,,818,0,,,,,,79114,,0,831887,8608,,,,,,0,831887,8608
1/7/2021,MT,1038,,23,,3782,3782,208,44,,40,738529,5447,,,,,21,84750,,690,0,,,,,,78796,,0,823279,6137,,,,,,0,823279,6137
1/6/2021,MT,1015,,10,,3738,3738,219,52,,41,733082,3378,,,,,21,84060,,682,0,,,,,,78114,,0,817142,4060,,,,,,0,817142,4060
1/5/2021,MT,1005,,30,,3686,3686,212,36,,37,729704,1488,,,,,22,83378,,714,0,,,,,,77449,,0,813082,2202,,,,,,0,813082,2202
1/4/2021,MT,975,,3,,3650,3650,191,19,,39,728216,14801,,,,,22,82664,,283,0,,,,,,76633,,0,810880,15084,,,,,,0,810880,15084
1/3/2021,MT,972,,1,,3631,3631,192,13,,39,713415,2580,,,,,22,82381,,437,0,,,,,,76501,,0,795796,3017,,,,,,0,795796,3017
1/2/2021,MT,971,,10,,3618,3618,194,50,,39,710835,801,,,,,23,81944,,389,0,,,,,,75974,,0,792779,1190,,,,,,0,792779,1190
1/1/2021,MT,961,,0,,3568,3568,203,0,,39,710034,0,,,,,23,81555,,0,0,,,,,,74991,,0,791589,0,,,,,,0,791589,0
12/31/2020,MT,961,,11,,3568,3568,203,15,,44,710034,4526,,,,,25,81555,,255,0,,,,,,74991,,0,791589,4781,,,,,,0,791589,4781
12/30/2020,MT,950,,11,,3553,3553,223,39,,46,705508,2439,,,,,26,81300,,874,0,,,,,,74970,,0,786808,3313,,,,,,0,786808,3313
12/29/2020,MT,939,,12,,3514,3514,218,50,,47,703069,1050,,,,,24,80426,,427,0,,,,,,74096,,0,783495,1477,,,,,,0,783495,1477
12/28/2020,MT,927,,3,,3464,3464,213,13,,43,702019,1680,,,,,21,79999,,219,0,,,,,,73481,,0,782018,1899,,,,,,0,782018,1899
12/27/2020,MT,924,,5,,3451,3451,200,22,,44,700339,1231,,,,,22,79780,,347,0,,,,,,72729,,0,780119,1578,,,,,,0,780119,1578
12/26/2020,MT,919,,3,,3429,3429,216,23,,46,699108,6344,,,,,21,79433,,504,0,,,,,,72284,,0,778541,6848,,,,,,0,778541,6848
12/25/2020,MT,916,,0,,3406,3406,241,0,,46,692764,0,,,,,21,78929,,0,0,,,,,,70176,,0,771693,0,,,,,,0,771693,0
12/24/2020,MT,916,,2,,3406,3406,241,46,,47,692764,5090,,,,,19,78929,,407,0,,,,,,70176,,0,771693,5497,,,,,,0,771693,5497
12/23/2020,MT,914,,19,,3360,3360,251,28,,50,687674,2767,,,,,24,78522,,575,0,,,,,,69555,,0,766196,3342,,,,,,0,766196,3342
12/22/2020,MT,895,,14,,3332,3332,253,52,,62,684907,3252,,,,,27,77947,,623,0,,,,,,69101,,0,762854,3875,,,,,,0,762854,3875
12/21/2020,MT,881,,16,,3280,3280,253,19,,64,681655,3534,,,,,31,77324,,154,0,,,,,,68440,,0,758979,3688,,,,,,0,758979,3688
12/20/2020,MT,865,,1,,3261,3261,258,13,,61,678121,2497,,,,,35,77170,,551,0,,,,,,67435,,0,755291,3048,,,,,,0,755291,3048
12/19/2020,MT,864,,10,,3248,3248,267,22,,63,675624,3814,,,,,38,76619,,627,0,,,,,,67271,,0,752243,4441,,,,,,0,752243,4441
12/18/2020,MT,854,,5,,3226,3226,275,27,,63,671810,4753,,,,,35,75992,,509,0,,,,,,65873,,0,747802,5262,,,,,,0,747802,5262
12/17/2020,MT,849,,13,,3199,3199,306,46,,64,667057,5642,,,,,29,75483,,839,0,,,,,,65393,,0,742540,6481,,,,,,0,742540,6481
12/16/2020,MT,836,,10,,3153,3153,311,34,,65,661415,2716,,,,,35,74644,,604,0,,,,,,64737,,0,736059,3320,,,,,,0,736059,3320
12/15/2020,MT,826,,8,,3119,3119,338,39,,68,658699,9694,,,,,34,74040,,737,0,,,,,,64298,,0,732739,10431,,,,,,0,732739,5680
12/14/2020,MT,818,,0,,3080,3080,350,0,,70,649005,0,,,,,36,73303,,0,0,,,,,,62778,,0,722308,0,,,,,,0,727059,4751
12/13/2020,MT,818,,2,,3080,3080,365,8,,72,649005,3147,,,,,37,73303,,659,0,,,,,,62778,,0,722308,3806,,,,,,0,722308,3806
12/12/2020,MT,816,,11,,3072,3072,365,33,,69,645858,5994,,,,,36,72644,,774,0,,,,,,61877,,0,718502,6768,,,,,,0,718502,6768
12/11/2020,MT,805,,24,,3039,3039,372,36,,69,639864,8231,,,,,36,71870,,978,0,,,,,,61093,,0,711734,9209,,,,,,0,711734,9209
12/10/2020,MT,781,,10,,3003,3003,488,40,,76,631633,2298,,,,,37,70892,,759,0,,,,,,52994,,0,702525,3057,,,,,,0,702525,3057
12/9/2020,MT,771,,8,,2963,2963,490,54,,80,629335,1803,,,,,39,70133,,787,0,,,,,,52068,,0,699468,2590,,,,,,0,699468,2590
12/8/2020,MT,763,,21,,2909,2909,479,34,,79,627532,3360,,,,,41,69346,,755,0,,,,,,51135,,0,696878,4115,,,,,,0,696878,4115
12/7/2020,MT,742,,6,,2875,2875,492,39,,77,624172,3833,,,,,40,68591,,716,0,,,,,,50652,,0,692763,4549,,,,,,0,692763,4549
12/6/2020,MT,736,,2,,2836,2836,475,21,,77,620339,4825,,,,,44,67875,,806,0,,,,,,50287,,0,688214,5631,,,,,,0,688214,5631
12/5/2020,MT,734,,7,,2815,2815,466,5,,84,615514,6688,,,,,47,67069,,633,0,,,,,,49910,,0,682583,7321,,,,,,0,682583,7321
12/4/2020,MT,727,,5,,2810,2810,483,48,,81,608826,4867,,,,,43,66436,,1314,0,,,,,,49217,,0,675262,6181,,,,,,0,675262,6181
12/3/2020,MT,722,,9,,2762,2762,474,29,,87,603959,4718,,,,,31,65122,,782,0,,,,,,48360,,0,669081,5500,,,,,,0,669081,5500
12/2/2020,MT,713,,15,,2733,2733,478,53,,90,599241,1551,,,,,45,64340,,1135,0,,,,,,47533,,0,663581,2686,,,,,,0,663581,2686
12/1/2020,MT,698,,17,,2680,2680,495,58,,88,597690,3867,,,,,46,63205,,1007,0,,,,,,46350,,0,660895,4874,,,,,,0,660895,4874
11/30/2020,MT,681,,10,,2622,2622,477,53,,84,593823,5401,,,,,46,62198,,397,0,,,,,,45486,,0,656021,5798,,,,,,0,656021,5798
11/29/2020,MT,671,,2,,2569,2569,461,0,,88,588422,3874,,,,,48,61801,,956,0,,,,,,44100,,0,650223,4830,,,,,,0,650223,4830
11/28/2020,MT,669,,12,,2569,2569,461,43,,99,584548,1830,,,,,47,60845,,1049,0,,,,,,44100,,0,645393,2879,,,,,,0,645393,2879
11/27/2020,MT,657,,-1,,2526,2526,452,-8,,97,582718,10473,,,,,45,59796,,114,0,,,,,,43290,,0,642514,10587,,,,,,0,642514,10587
11/26/2020,MT,658,,6,,2534,2534,455,60,,91,572245,2959,,,,,48,59682,,1117,0,,,,,,43077,,0,631927,4076,,,,,,0,631927,4076
11/25/2020,MT,652,,22,,2474,2474,462,54,,87,569286,3994,,,,,47,58565,,1061,0,,,,,,42012,,0,627851,5055,,,,,,0,627851,5055
11/24/2020,MT,630,,16,,2420,2420,467,43,,80,565292,3699,,,,,41,57504,,1123,0,,,,,,40686,,0,622796,4822,,,,,,0,622796,4822
11/23/2020,MT,614,,11,,2377,2377,467,27,,84,561593,4264,,,,,44,56381,,701,0,,,,,,39450,,0,617974,4965,,,,,,0,617974,4965
11/22/2020,MT,603,,3,,2350,2350,477,14,,,557329,3369,,,,,,55680,,1138,0,,,,,,39051,,0,613009,4507,,,,,,0,613009,4507
11/21/2020,MT,600,,33,,2336,2336,474,84,,,553960,5578,,,,,,54542,,1249,0,,,,,,38701,,0,608502,6827,,,,,,0,608502,6827
11/20/2020,MT,567,,6,,2252,2252,506,31,,,548382,4371,,,,,,53293,,1475,0,,,,,,30557,,0,601675,5846,,,,,,0,601675,5846
11/19/2020,MT,561,,0,,2221,2221,482,19,,,544011,3187,,,,,,51818,,1236,0,,,,,,30477,,0,595829,4423,,,,,,0,595829,4423
11/18/2020,MT,561,,18,,2202,2202,463,41,,,540824,6394,,,,,,50582,,1184,0,,,,,,30400,,0,591406,7578,,,,,,0,591406,7578
